,ProductName_ID,Point-of-Sale_ID,Sell-out units,date
2026,17,284,5,2017-07-03
2027,17,284,1,2017-07-10
2028,17,284,3,2017-07-17
2029,17,284,3,2017-01-16
2030,17,284,3,2017-07-24
2031,17,284,4,2017-07-31
2032,17,284,2,2017-08-14
2033,17,284,5,2017-08-28
2034,17,284,3,2017-09-04
2035,17,284,2,2017-09-11
2036,17,284,6,2017-09-18
2037,17,284,5,2017-09-25
2038,17,284,5,2017-01-23
2039,17,284,2,2017-10-02
2040,17,284,6,2017-10-09
2041,17,284,4,2017-10-16
2042,17,284,2,2017-10-23
2043,17,284,5,2017-10-30
2044,17,284,5,2017-11-06
2045,17,284,1,2017-11-13
2046,17,284,4,2017-11-20
2047,17,284,2,2017-11-27
2048,17,284,1,2017-12-04
2049,17,284,3,2017-01-30
2050,17,284,5,2017-12-11
2051,17,284,5,2017-12-18
2052,17,284,2,2017-12-25
2053,17,284,1,2017-02-06
2054,17,284,5,2017-02-13
2055,17,284,4,2017-02-20
2056,17,284,6,2018-01-01
2057,17,284,3,2018-03-05
2058,17,284,3,2018-03-12
2059,17,284,3,2018-03-19
2060,17,284,4,2018-03-26
2061,17,284,5,2018-04-02
2062,17,284,1,2018-04-09
2063,17,284,2,2018-04-16
2064,17,284,2,2018-04-23
2065,17,284,1,2018-04-30
2066,17,284,2,2018-05-07
2067,17,284,4,2018-01-08
2068,17,284,2,2018-05-14
2069,17,284,1,2018-05-21
2070,17,284,2,2018-05-28
2071,17,284,3,2018-06-04
2072,17,284,1,2018-06-18
2073,17,284,8,2018-06-25
2074,17,284,9,2018-07-02
2075,17,284,2,2018-07-09
2076,17,284,1,2018-07-16
2077,17,284,7,2018-01-15
2078,17,284,3,2018-07-23
2079,17,284,2,2018-07-30
2080,17,284,2,2018-08-06
2081,17,284,1,2018-08-13
2082,17,284,1,2018-08-27
2083,17,284,6,2018-09-03
2084,17,284,2,2018-09-10
2085,17,284,4,2018-09-17
2086,17,284,3,2018-09-24
2087,17,284,3,2018-01-22
2088,17,284,3,2018-10-01
2089,17,284,2,2018-10-08
2090,17,284,4,2018-10-15
2091,17,284,8,2018-10-22
2092,17,284,1,2018-10-29
2093,17,284,2,2018-11-05
2094,17,284,4,2018-11-12
2095,17,284,6,2018-11-19
2096,17,284,5,2018-11-26
2097,17,284,4,2018-12-03
2098,17,284,9,2018-01-29
2099,17,284,5,2018-12-10
2100,17,284,2,2018-12-17
2101,17,284,1,2018-12-24
2102,17,284,3,2018-02-05
2103,17,284,1,2018-02-12
2104,17,284,2,2018-02-19
2105,17,284,6,2018-02-26
2106,17,284,4,2019-01-07
2107,17,284,6,2019-03-11
2108,17,284,5,2019-03-18
2109,17,284,4,2019-03-25
2110,17,284,4,2019-04-01
2111,17,284,3,2019-04-08
2112,17,284,1,2019-04-15
2113,17,284,2,2019-04-22
2114,17,284,2,2019-04-29
2115,17,284,3,2019-05-06
2116,17,284,3,2019-05-13
2117,17,284,4,2019-01-14
2118,17,284,4,2019-05-20
2119,17,284,2,2019-05-27
2120,17,284,3,2019-06-03
2121,17,284,6,2019-06-10
2122,17,284,5,2019-06-24
2123,17,284,1,2019-07-01
2124,17,284,2,2019-07-08
2125,17,284,1,2019-07-15
2126,17,284,10,2019-01-21
2127,17,284,3,2019-07-29
2128,17,284,1,2019-08-05
2129,17,284,5,2019-08-12
2130,17,284,5,2019-08-19
2131,17,284,2,2019-09-02
2132,17,284,3,2019-09-09
2133,17,284,4,2019-09-16
2134,17,284,5,2019-09-30
2135,17,284,13,2019-01-28
2136,17,284,4,2019-10-07
2137,17,284,1,2019-10-14
2138,17,284,3,2019-10-21
2139,17,284,1,2019-11-04
2140,17,284,7,2019-02-04
2141,17,284,8,2019-02-11
2142,17,284,2,2019-02-18
2143,17,284,5,2019-02-25
2144,17,284,3,2019-03-04
2145,78,284,5,2016-01-04
2146,78,284,13,2016-03-07
2147,78,284,2,2016-03-14
2148,78,284,7,2016-03-21
2149,78,284,7,2016-03-28
2150,78,284,6,2016-04-04
2151,78,284,6,2016-04-11
2152,78,284,5,2016-04-18
2153,78,284,8,2016-04-25
2154,78,284,7,2016-05-02
2155,78,284,5,2016-05-09
2156,78,284,10,2016-01-11
2157,78,284,1,2016-05-16
2158,78,284,6,2016-05-23
2159,78,284,9,2016-05-30
2160,78,284,9,2016-06-06
2161,78,284,14,2016-06-13
2162,78,284,8,2016-06-20
2163,78,284,2,2016-06-27
2164,78,284,7,2016-07-04
2165,78,284,10,2016-07-11
2166,78,284,3,2016-07-18
2167,78,284,4,2016-01-18
2168,78,284,9,2016-07-25
2169,78,284,9,2016-08-01
2170,78,284,4,2016-08-08
2171,78,284,3,2016-08-15
2172,78,284,1,2016-08-22
2173,78,284,7,2016-08-29
2174,78,284,6,2016-09-05
2175,78,284,3,2016-09-12
2176,78,284,6,2016-09-19
2177,78,284,5,2016-09-26
2178,78,284,8,2016-01-25
2179,78,284,8,2016-10-03
2180,78,284,7,2016-10-10
2181,78,284,3,2016-10-17
2182,78,284,7,2016-10-24
2183,78,284,3,2016-10-31
2184,78,284,11,2016-11-07
2185,78,284,4,2016-11-14
2186,78,284,6,2016-11-21
2187,78,284,6,2016-11-28
2188,78,284,9,2016-12-05
2189,78,284,6,2016-02-01
2190,78,284,4,2016-12-12
2191,78,284,3,2016-12-19
2192,78,284,2,2016-12-26
2193,78,284,3,2017-01-02
2194,78,284,4,2016-02-08
2195,78,284,4,2016-02-15
2196,78,284,3,2016-02-22
2197,78,284,10,2016-02-29
2198,78,284,13,2017-01-02
2199,78,284,2,2017-03-06
2200,78,284,10,2017-03-13
2201,78,284,3,2017-03-20
2202,78,284,6,2017-03-27
2203,78,284,11,2017-04-03
2204,78,284,2,2017-04-10
2205,78,284,5,2017-04-17
2206,78,284,2,2017-04-24
2207,78,284,3,2017-05-01
2208,78,284,3,2017-05-08
2209,78,284,14,2017-01-09
2210,78,284,4,2017-05-15
2211,78,284,14,2017-05-22
2212,78,284,9,2017-05-29
2213,78,284,4,2017-06-05
2214,78,284,1,2017-06-12
2215,78,284,11,2017-06-19
2216,78,284,3,2017-06-26
2217,78,284,4,2017-07-03
2218,78,284,3,2017-07-10
2219,78,284,7,2017-07-17
2220,78,284,1,2017-01-16
2221,78,284,4,2017-07-24
2222,78,284,9,2017-07-31
2223,78,284,10,2017-08-07
2224,78,284,3,2017-08-14
2225,78,284,4,2017-08-21
2226,78,284,3,2017-08-28
2227,78,284,5,2017-09-04
2228,78,284,6,2017-09-11
2229,78,284,6,2017-09-18
2230,78,284,4,2017-09-25
2231,78,284,3,2017-01-23
2232,78,284,13,2017-10-02
2233,78,284,10,2017-10-09
2234,78,284,7,2017-10-16
2235,78,284,7,2017-10-23
2236,78,284,8,2017-10-30
2237,78,284,6,2017-11-06
2238,78,284,9,2017-11-13
2239,78,284,6,2017-11-20
2240,78,284,9,2017-11-27
2241,78,284,14,2017-12-04
2242,78,284,6,2017-01-30
2243,78,284,3,2017-12-11
2244,78,284,6,2017-12-18
2245,78,284,5,2017-12-25
2246,78,284,4,2017-02-06
2247,78,284,3,2017-02-13
2248,78,284,2,2017-02-20
2249,78,284,3,2017-02-27
2250,78,284,7,2018-01-01
2251,78,284,4,2018-03-05
2252,78,284,2,2018-03-12
2253,78,284,5,2018-03-19
2254,78,284,7,2018-03-26
2255,78,284,2,2018-04-02
2256,78,284,16,2018-04-09
2257,78,284,4,2018-04-16
2258,78,284,13,2018-04-23
2259,78,284,6,2018-04-30
2260,78,284,7,2018-05-07
2261,78,284,5,2018-01-08
2262,78,284,6,2018-05-14
2263,78,284,9,2018-05-21
2264,78,284,9,2018-05-28
2265,78,284,5,2018-06-04
2266,78,284,6,2018-06-11
2267,78,284,8,2018-06-18
2268,78,284,11,2018-06-25
2269,78,284,4,2018-07-02
2270,78,284,7,2018-07-09
2271,78,284,10,2018-07-16
2272,78,284,3,2018-01-15
2273,78,284,4,2018-07-23
2274,78,284,9,2018-07-30
2275,78,284,8,2018-08-06
2276,78,284,6,2018-08-13
2277,78,284,3,2018-08-20
2278,78,284,5,2018-08-27
2279,78,284,13,2018-09-03
2280,78,284,3,2018-09-10
2281,78,284,6,2018-09-17
2282,78,284,9,2018-01-22
2283,78,284,4,2018-10-01
2284,78,284,1,2018-10-08
2285,78,284,3,2018-10-15
2286,78,284,7,2018-10-22
2287,78,284,8,2018-10-29
2288,78,284,3,2018-11-05
2289,78,284,4,2018-11-12
2290,78,284,7,2018-11-19
2291,78,284,7,2018-11-26
2292,78,284,1,2018-12-03
2293,78,284,9,2018-01-29
2294,78,284,6,2018-12-10
2295,78,284,6,2018-12-17
2296,78,284,7,2018-12-24
2297,78,284,4,2018-02-05
2298,78,284,4,2018-02-12
2299,78,284,8,2018-02-19
2300,78,284,7,2018-02-26
2301,78,284,21,2019-01-07
2302,78,284,4,2019-03-11
2303,78,284,7,2019-03-18
2304,78,284,5,2019-03-25
2305,78,284,7,2019-04-01
2306,78,284,1,2019-04-08
2307,78,284,3,2019-04-15
2308,78,284,4,2019-04-22
2309,78,284,4,2019-04-29
2310,78,284,10,2019-05-06
